Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,4,1,125,1.67,24.14,OK
WARMUP,1,1,127,1.67,24.14,OK
WARMUP,2,1,125,1.67,24.15,OK
WARMUP,3,1,127,1.67,24.16,OK
WARMUP,1,2,126,1.67,24.17,OK
WARMUP,4,2,125,1.67,24.18,OK
WARMUP,3,2,126,1.67,24.20,OK
WARMUP,2,2,127,1.67,24.19,OK
WARMUP,1,3,125,1.67,24.21,OK
WARMUP,4,3,124,1.67,23.48,OK
WARMUP,2,3,126,1.67,23.48,OK
WARMUP,3,3,126,1.67,23.49,OK
WARMUP,1,4,126,1.67,23.50,OK
WARMUP,4,4,125,1.67,23.51,OK
WARMUP,2,4,127,1.67,23.52,OK
WARMUP,3,4,127,1.67,23.53,OK
WARMUP,4,5,124,1.67,23.54,OK
WARMUP,1,5,127,1.67,23.54,OK
WARMUP,2,5,125,1.67,23.55,OK
WARMUP,3,5,126,1.67,23.56,OK
WARMUP,1,6,126,1.67,23.57,OK
WARMUP,4,6,124,1.67,23.58,OK
WARMUP,2,6,126,1.67,23.59,OK
WARMUP,3,6,126,1.67,23.60,OK
WARMUP,1,7,125,1.67,23.61,OK
WARMUP,4,7,125,1.67,23.62,OK
WARMUP,2,7,125,1.67,23.61,OK
WARMUP,3,7,127,1.67,23.63,OK
WARMUP,4,8,124,1.67,23.65,OK
WARMUP,2,8,125,1.67,23.64,OK
WARMUP,3,8,126,1.67,23.66,OK
WARMUP,4,9,125,1.67,23.67,OK
WARMUP,2,9,125,1.67,23.67,OK
WARMUP,3,9,127,1.67,23.69,OK
WARMUP,1,8,203,1.67,23.70,OK
WARMUP,1,9,163,1.67,23.71,OK
WARMUP,4,10,124,1.67,23.72,OK
WARMUP,2,10,127,1.67,23.72,OK
WARMUP,3,10,127,1.67,23.73,OK
WARMUP,1,10,159,1.67,23.74,OK
WARMUP,1,11,125,1.67,23.77,OK
WARMUP,4,11,125,1.67,23.76,OK
WARMUP,2,11,127,1.67,23.75,OK
WARMUP,3,11,127,1.67,23.78,OK
WARMUP,4,12,124,1.67,23.79,OK
WARMUP,2,12,125,1.67,23.78,OK
WARMUP,3,12,126,1.67,23.80,OK
WARMUP,4,13,124,1.67,23.82,OK
WARMUP,2,13,125,1.67,23.81,OK
WARMUP,3,13,126,1.67,23.83,OK
WARMUP,1,12,203,1.67,23.84,OK
WARMUP,1,13,163,1.67,23.84,OK
WARMUP,4,14,124,1.67,23.86,OK
WARMUP,2,14,125,1.67,23.85,OK
WARMUP,3,14,126,1.67,23.87,OK
WARMUP,1,14,159,1.67,23.88,OK
WARMUP,1,15,125,1.67,23.89,OK
WARMUP,4,15,124,1.67,23.90,OK
WARMUP,2,15,125,1.67,23.90,OK
WARMUP,3,15,126,1.67,23.91,OK
WARMUP,1,16,125,1.67,23.92,OK
WARMUP,4,16,124,1.67,23.94,OK
WARMUP,2,16,124,1.67,23.93,OK
WARMUP,3,16,126,1.67,23.95,OK
WARMUP,4,17,126,1.67,23.96,OK
WARMUP,1,17,129,1.67,23.96,OK
WARMUP,3,17,126,1.67,23.98,OK
WARMUP,2,17,128,1.67,23.97,OK
WARMUP,1,18,127,1.67,23.99,OK
WARMUP,4,18,124,1.67,24.00,OK
WARMUP,2,18,126,1.67,24.01,OK
WARMUP,3,18,126,1.67,24.02,OK
WARMUP,4,19,124,1.67,24.02,OK
WARMUP,2,19,125,1.67,24.03,OK
WARMUP,3,19,126,1.67,24.04,OK
WARMUP,4,20,126,1.67,24.06,OK
WARMUP,2,20,125,1.67,24.05,OK
WARMUP,3,20,127,1.67,24.07,OK
WARMUP,1,19,202,1.67,24.08,OK
WARMUP,1,20,161,1.67,24.08,OK
WARMUP,4,21,125,1.67,24.10,OK
WARMUP,2,21,125,1.67,24.09,OK
WARMUP,3,21,127,1.67,24.11,OK
WARMUP,1,21,158,1.67,24.12,OK
WARMUP,1,22,125,1.67,24.13,OK
WARMUP,4,22,126,1.67,24.14,OK
WARMUP,3,22,126,1.67,24.15,OK
WARMUP,2,22,127,1.67,24.15,OK
WARMUP,1,23,125,1.67,24.16,OK
WARMUP,4,23,126,1.67,24.17,OK
WARMUP,3,23,126,1.67,24.18,OK
WARMUP,1,24,125,1.67,24.19,OK
WARMUP,4,24,125,1.67,24.20,OK
WARMUP,3,24,126,1.67,24.21,OK
WARMUP,1,25,125,1.67,24.21,OK
WARMUP,4,25,124,1.67,23.51,OK
WARMUP,2,23,204,1.67,23.51,OK
WARMUP,2,24,164,1.67,23.52,OK
WARMUP,3,25,128,1.67,23.53,OK
WARMUP,2,25,162,1.67,23.54,OK
WARMUP,4,26,124,1.67,23.55,OK
WARMUP,1,26,127,1.67,23.56,OK
WARMUP,2,26,126,1.67,23.57,OK
WARMUP,3,26,126,1.67,23.57,OK
WARMUP,1,27,125,1.67,23.58,OK
WARMUP,4,27,126,1.67,23.59,OK
WARMUP,2,27,124,1.67,23.60,OK
WARMUP,3,27,127,1.67,23.61,OK
WARMUP,1,28,125,1.67,23.62,OK
WARMUP,4,28,124,1.67,23.63,OK
WARMUP,2,28,126,1.67,23.63,OK
WARMUP,3,28,127,1.67,23.64,OK
WARMUP,1,29,126,1.67,23.66,OK
WARMUP,4,29,125,1.67,23.67,OK
WARMUP,2,29,125,1.67,23.65,OK
WARMUP,3,29,127,1.67,23.68,OK
WARMUP,1,30,125,1.67,23.69,OK
WARMUP,4,30,125,1.67,23.69,OK
WARMUP,3,30,126,1.67,23.70,OK
WARMUP,1,31,126,1.67,23.71,OK
WARMUP,4,31,124,1.67,23.72,OK
WARMUP,1,32,125,1.67,23.73,OK
WARMUP,4,32,124,1.67,23.75,OK
WARMUP,2,30,204,1.67,23.74,OK
WARMUP,2,31,164,1.67,23.75,OK
WARMUP,1,33,125,1.67,23.77,OK
WARMUP,2,32,163,1.67,23.76,OK
WARMUP,4,33,124,1.67,23.79,OK
WARMUP,2,33,124,1.67,23.78,OK
WARMUP,3,31,205,1.67,23.80,OK
WARMUP,3,32,165,1.67,23.81,OK
WARMUP,1,34,125,1.67,23.81,OK
WARMUP,4,34,124,1.67,23.82,OK
WARMUP,2,34,125,1.67,23.83,OK
WARMUP,3,33,164,1.67,23.84,OK
WARMUP,3,34,126,1.67,23.85,OK
WARMUP,1,35,127,1.67,23.86,OK
WARMUP,4,35,125,1.67,23.87,OK
WARMUP,2,35,125,1.67,23.87,OK
WARMUP,3,35,126,1.67,23.88,OK
WARMUP,1,36,125,1.67,23.89,OK
WARMUP,4,36,124,1.67,23.90,OK
WARMUP,2,36,125,1.67,23.91,OK
WARMUP,3,36,128,1.67,23.92,OK
WARMUP,1,37,125,1.67,23.93,OK
WARMUP,4,37,124,1.67,23.93,OK
WARMUP,2,37,125,1.67,23.94,OK
WARMUP,3,37,126,1.67,23.95,OK
WARMUP,1,38,125,1.67,23.96,OK
WARMUP,4,38,124,1.67,23.98,OK
WARMUP,2,38,126,1.67,23.97,OK
WARMUP,3,38,126,1.67,23.99,OK
WARMUP,1,39,125,1.67,23.99,OK
WARMUP,4,39,127,1.67,24.00,OK
WARMUP,3,39,126,1.67,24.01,OK
WARMUP,4,40,124,1.67,24.03,OK
WARMUP,1,40,127,1.67,24.02,OK
WARMUP,3,40,126,1.67,24.04,OK
WARMUP,2,39,205,1.67,24.05,OK
WARMUP,2,40,165,1.67,24.05,OK
WARMUP,4,41,126,1.67,24.06,OK
WARMUP,1,41,128,1.67,24.07,OK
WARMUP,3,41,126,1.67,24.08,OK
WARMUP,2,41,162,1.67,24.09,OK
WARMUP,4,42,124,1.67,24.11,OK
WARMUP,1,42,125,1.67,24.12,OK
WARMUP,2,42,125,1.67,24.10,OK
WARMUP,3,42,129,1.67,24.13,OK
WARMUP,4,43,125,1.67,24.14,OK
WARMUP,1,43,125,1.67,24.15,OK
WARMUP,2,43,125,1.67,24.14,OK
WARMUP,3,43,130,1.67,24.16,OK
WARMUP,4,44,123,1.67,24.18,OK
WARMUP,2,44,125,1.67,24.17,OK
WARMUP,1,44,128,1.67,24.19,OK
WARMUP,3,44,126,1.67,24.20,OK
WARMUP,4,45,124,1.67,24.21,OK
WARMUP,1,45,125,1.67,24.22,OK
WARMUP,2,45,125,1.67,24.20,OK
WARMUP,3,45,126,1.67,24.23,OK
WARMUP,4,46,125,1.67,24.25,OK
WARMUP,1,46,125,1.67,24.26,OK
WARMUP,2,46,126,1.67,24.24,OK
WARMUP,3,46,127,1.67,24.27,OK
WARMUP,4,47,125,1.67,23.48,OK
WARMUP,1,47,125,1.67,23.49,OK
WARMUP,2,47,126,1.67,24.28,OK
WARMUP,3,47,126,1.67,23.50,OK
WARMUP,4,48,125,1.67,23.51,OK
WARMUP,1,48,125,1.67,23.52,OK
WARMUP,2,48,128,1.67,23.53,OK
WARMUP,3,48,126,1.67,23.54,OK
WARMUP,4,49,124,1.67,23.55,OK
WARMUP,1,49,125,1.67,23.56,OK
