Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,223,1.83,23.26,OK
WARMUP,2,1,232,1.83,23.27,OK
WARMUP,1,2,223,1.83,22.55,OK
WARMUP,2,2,232,1.83,22.56,OK
WARMUP,1,3,228,1.83,22.57,OK
WARMUP,2,3,227,1.83,22.58,OK
WARMUP,4,1,227,1.83,22.58,OK
WARMUP,1,4,222,1.83,22.59,OK
WARMUP,2,4,223,1.83,22.60,OK
WARMUP,4,2,225,1.83,22.61,OK
WARMUP,3,1,233,1.83,22.62,OK
WARMUP,1,5,220,1.83,22.62,OK
WARMUP,2,5,221,1.83,22.63,OK
WARMUP,3,2,224,1.83,22.64,OK
WARMUP,4,3,230,1.83,22.65,OK
WARMUP,3,3,219,1.83,22.66,OK
WARMUP,1,6,229,1.83,22.66,OK
WARMUP,4,4,224,1.83,22.67,OK
WARMUP,2,6,230,1.83,22.68,OK
WARMUP,1,7,227,1.83,22.69,OK
WARMUP,3,4,224,1.83,22.70,OK
WARMUP,2,7,231,1.83,22.70,OK
WARMUP,4,5,229,1.83,22.71,OK
WARMUP,1,8,222,1.83,22.72,OK
WARMUP,2,8,225,1.83,22.73,OK
WARMUP,4,6,227,1.83,22.74,OK
WARMUP,3,5,230,1.83,22.73,OK
WARMUP,1,9,224,1.83,22.75,OK
WARMUP,3,6,225,1.83,22.76,OK
WARMUP,2,9,228,1.83,22.77,OK
WARMUP,4,7,229,1.83,22.77,OK
WARMUP,1,10,227,1.83,22.78,OK
WARMUP,2,10,227,1.83,22.79,OK
WARMUP,3,7,228,1.83,22.80,OK
WARMUP,4,8,227,1.83,22.81,OK
WARMUP,1,11,226,1.83,22.81,OK
WARMUP,3,8,231,1.83,22.82,OK
WARMUP,4,9,229,1.83,22.83,OK
WARMUP,2,11,235,1.83,22.84,OK
WARMUP,1,12,223,1.83,22.85,OK
WARMUP,3,9,222,1.83,22.85,OK
WARMUP,4,10,224,1.83,22.86,OK
WARMUP,2,12,229,1.83,22.87,OK
WARMUP,1,13,226,1.83,22.89,OK
WARMUP,4,11,220,1.83,22.88,OK
WARMUP,3,10,228,1.83,22.89,OK
WARMUP,2,13,232,1.83,22.90,OK
WARMUP,1,14,231,1.83,22.93,OK
WARMUP,4,12,222,1.83,22.91,OK
WARMUP,3,11,226,1.83,22.92,OK
