Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,2,8,307,3.28,21.33,OK
WARMUP,1,9,334,3.28,21.37,OK
WARMUP,1,10,330,3.28,21.41,OK
WARMUP,3,9,347,3.28,21.44,OK
WARMUP,2,9,312,3.28,21.48,OK
WARMUP,4,9,350,3.28,21.52,OK
WARMUP,3,10,341,3.28,21.56,OK
WARMUP,4,10,356,3.28,21.60,OK
WARMUP,1,12,363,3.28,21.67,OK
WARMUP,2,11,343,3.28,21.64,OK
WARMUP,4,12,365,3.28,21.71,OK
WARMUP,3,12,370,3.28,21.75,OK
WARMUP,2,12,342,3.28,21.79,OK
WARMUP,3,12,142,3.28,21.83,OK
WARMUP,2,12,148,3.28,21.86,OK
WARMUP,1,13,378,3.28,21.90,OK
WARMUP,4,12,357,3.28,21.94,OK
WARMUP,3,13,383,3.28,21.19,OK
WARMUP,3,13,142,3.28,21.23,OK
WARMUP,2,13,149,3.28,21.27,OK
WARMUP,4,13,153,3.28,21.30,OK
WARMUP,4,13,361,3.28,21.34,OK
WARMUP,1,14,391,3.28,21.38,OK
WARMUP,2,14,379,3.28,21.42,OK
WARMUP,1,15,161,3.28,21.45,OK
WARMUP,2,14,343,3.28,21.49,OK
WARMUP,3,14,387,3.28,21.53,OK
WARMUP,2,14,150,3.28,21.57,OK
WARMUP,3,14,160,3.28,21.61,OK
WARMUP,1,15,389,3.28,21.64,OK
WARMUP,1,15,153,3.28,21.68,OK
WARMUP,4,15,368,3.28,21.72,OK
WARMUP,3,15,380,3.28,21.76,OK
WARMUP,2,15,152,3.28,21.80,OK
WARMUP,1,16,383,3.28,21.83,OK
WARMUP,4,15,155,3.28,21.87,OK
WARMUP,1,16,158,3.28,21.91,OK
WARMUP,2,16,379,3.28,21.95,OK
WARMUP,3,16,140,3.28,21.20,OK
WARMUP,2,16,152,3.28,21.23,OK
WARMUP,4,16,395,3.28,21.31,OK
WARMUP,4,16,154,3.28,21.27,OK
WARMUP,3,16,398,3.28,21.35,OK
WARMUP,1,17,159,3.28,21.39,OK
WARMUP,2,17,391,3.28,21.42,OK
WARMUP,4,17,149,3.28,21.54,OK
WARMUP,3,17,151,3.28,21.50,OK
WARMUP,2,17,155,3.28,21.46,OK
WARMUP,4,17,401,3.28,21.58,OK
WARMUP,3,18,404,3.28,21.62,OK
WARMUP,3,18,153,3.28,21.73,OK
WARMUP,2,18,157,3.28,21.69,OK
WARMUP,1,19,187,3.28,21.77,OK
WARMUP,1,19,467,3.28,21.65,OK
WARMUP,4,18,402,3.28,21.84,OK
WARMUP,4,18,161,3.28,21.88,OK
WARMUP,1,19,434,3.28,21.81,OK
WARMUP,4,19,329,3.28,21.92,OK
WARMUP,1,19,157,3.28,21.96,OK
WARMUP,2,19,151,3.28,21.24,OK
WARMUP,1,20,415,3.28,21.20,OK
WARMUP,3,19,154,3.28,21.27,OK
WARMUP,4,19,158,3.28,21.31,OK
WARMUP,1,21,161,3.28,21.35,OK
WARMUP,3,20,348,3.28,21.39,OK
WARMUP,2,20,153,3.28,21.42,OK
WARMUP,4,20,147,3.28,21.46,OK
WARMUP,3,20,161,3.28,21.50,OK
WARMUP,1,21,152,3.28,21.54,OK
WARMUP,3,21,140,3.28,21.58,OK
WARMUP,2,21,150,3.28,21.61,OK
WARMUP,4,21,152,3.28,21.65,OK
WARMUP,1,23,163,3.28,21.69,OK
WARMUP,2,22,158,3.28,21.73,OK
WARMUP,4,22,157,3.28,21.77,OK
WARMUP,3,23,169,3.28,21.80,OK
WARMUP,1,23,159,3.28,21.84,OK
WARMUP,3,23,148,3.28,21.88,OK
WARMUP,4,23,143,3.28,21.92,OK
WARMUP,2,23,155,3.28,21.96,OK
WARMUP,1,24,159,3.28,21.17,OK
WARMUP,2,24,151,3.28,21.21,OK
WARMUP,3,25,163,3.28,21.24,OK
WARMUP,1,25,153,3.28,21.28,OK
WARMUP,4,24,159,3.28,21.32,OK
WARMUP,2,25,146,3.28,21.36,OK
WARMUP,3,25,161,3.28,21.40,OK
WARMUP,4,26,162,3.28,21.44,OK
WARMUP,1,27,165,3.28,21.48,OK
WARMUP,2,27,172,3.28,21.55,OK
WARMUP,1,27,157,3.28,21.59,OK
WARMUP,4,27,164,3.28,21.51,OK
WARMUP,4,27,145,3.28,21.67,OK
WARMUP,3,27,150,3.28,21.63,OK
WARMUP,2,27,159,3.28,21.70,OK
WARMUP,1,28,149,3.28,21.74,OK
WARMUP,3,28,145,3.28,21.78,OK
WARMUP,2,28,159,3.28,21.82,OK
WARMUP,3,28,240,3.28,21.89,OK
WARMUP,4,28,156,3.28,21.86,OK
WARMUP,1,29,158,3.28,21.93,OK
WARMUP,2,29,150,3.28,21.17,OK
WARMUP,3,29,160,3.28,21.21,OK
WARMUP,4,29,159,3.28,21.25,OK
WARMUP,1,30,158,3.28,21.29,OK
WARMUP,2,30,152,3.28,21.32,OK
WARMUP,4,30,149,3.28,21.36,OK
WARMUP,1,31,150,3.28,21.44,OK
WARMUP,3,31,163,3.28,21.40,OK
WARMUP,2,31,155,3.28,21.53,OK
WARMUP,4,31,151,3.28,21.48,OK
WARMUP,3,31,153,3.28,21.55,OK
WARMUP,1,32,157,3.28,21.59,OK
WARMUP,3,32,151,3.28,21.63,OK
WARMUP,2,32,159,3.28,21.66,OK
WARMUP,4,32,154,3.28,21.70,OK
WARMUP,1,34,166,3.28,21.74,OK
WARMUP,3,33,154,3.28,21.79,OK
WARMUP,4,33,154,3.28,21.84,OK
WARMUP,2,34,168,3.28,21.87,OK
WARMUP,1,34,155,3.28,21.91,OK
WARMUP,2,34,151,3.28,21.97,OK
WARMUP,3,34,149,3.28,21.20,OK
WARMUP,4,34,148,3.28,21.24,OK
WARMUP,1,35,158,3.28,21.28,OK
WARMUP,2,35,157,3.28,21.31,OK
WARMUP,4,35,153,3.28,21.35,OK
WARMUP,3,36,167,3.28,21.39,OK
WARMUP,1,36,158,3.28,21.43,OK
WARMUP,3,36,149,3.28,21.47,OK
