Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,4,21,815,2.93,23.26,OK
WARMUP,2,22,828,2.93,23.30,OK
WARMUP,2,23,922,2.93,23.34,OK
WARMUP,3,23,881,2.93,23.38,OK
WARMUP,4,24,894,2.93,23.41,OK
WARMUP,1,25,899,2.93,23.45,OK
WARMUP,2,25,903,2.93,23.49,OK
WARMUP,2,25,179,2.93,23.52,OK
WARMUP,1,26,1017,2.93,23.56,OK
WARMUP,3,25,1002,2.93,23.60,OK
WARMUP,4,26,954,2.93,23.64,OK
WARMUP,1,27,176,2.93,23.67,OK
WARMUP,2,28,985,2.93,22.94,OK
WARMUP,2,28,176,2.93,22.98,OK
WARMUP,3,28,179,2.93,23.01,OK
WARMUP,3,28,1012,2.93,23.05,OK
WARMUP,2,29,184,2.93,23.09,OK
WARMUP,3,29,1093,2.93,23.13,OK
WARMUP,2,30,1030,2.93,23.16,OK
WARMUP,2,30,184,2.93,23.20,OK
WARMUP,3,30,191,2.93,23.24,OK
WARMUP,4,31,1078,2.93,23.27,OK
WARMUP,3,31,191,2.93,23.31,OK
WARMUP,1,33,181,2.93,23.35,OK
WARMUP,2,33,1099,2.93,23.39,OK
WARMUP,2,33,181,2.93,23.43,OK
WARMUP,1,34,364,2.93,23.46,OK
WARMUP,4,33,178,2.93,23.50,OK
WARMUP,4,33,1211,2.93,23.54,OK
WARMUP,1,34,349,2.93,23.58,OK
WARMUP,2,34,180,2.93,23.61,OK
WARMUP,3,34,190,2.93,23.69,OK
WARMUP,4,34,1160,2.93,23.65,OK
WARMUP,3,34,1170,2.93,22.91,OK
WARMUP,1,35,181,2.93,22.95,OK
WARMUP,2,35,177,2.93,23.03,OK
WARMUP,4,35,374,2.93,22.99,OK
WARMUP,3,35,191,2.93,23.06,OK
WARMUP,2,36,368,2.93,23.10,OK
WARMUP,2,36,1186,2.93,23.14,OK
WARMUP,1,36,1208,2.93,23.17,OK
WARMUP,3,36,178,2.93,23.21,OK
WARMUP,3,36,1275,2.93,23.25,OK
WARMUP,2,36,191,2.93,23.29,OK
WARMUP,1,37,1324,2.93,23.32,OK
WARMUP,4,37,1219,2.93,23.36,OK
WARMUP,3,37,188,2.93,23.43,OK
WARMUP,2,37,192,2.93,23.40,OK
WARMUP,3,37,1242,2.93,23.47,OK
WARMUP,1,38,183,2.93,23.51,OK
WARMUP,1,38,1481,2.93,23.55,OK
WARMUP,1,38,1322,2.93,23.58,OK
WARMUP,2,38,180,2.93,23.62,OK
WARMUP,3,38,178,2.93,23.66,OK
WARMUP,4,38,191,2.93,23.70,OK
WARMUP,1,39,188,2.93,22.92,OK
WARMUP,2,39,176,2.93,22.95,OK
WARMUP,4,39,177,2.93,22.99,OK
WARMUP,1,40,194,3.02,23.03,OK
WARMUP,3,40,181,3.02,23.10,OK
