Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,300,1.42,19.27,OK
WARMUP,2,1,293,1.42,19.47,OK
WARMUP,1,2,288,1.42,19.07,OK
WARMUP,2,2,274,1.42,19.16,OK
WARMUP,3,2,274,1.42,19.26,OK
WARMUP,4,2,274,1.42,19.36,OK
WARMUP,1,3,246,1.42,19.43,OK
WARMUP,3,3,245,1.42,19.77,OK
WARMUP,4,3,245,1.42,19.91,OK
WARMUP,1,4,222,1.42,19.48,OK
WARMUP,2,4,254,1.42,19.54,OK
WARMUP,3,4,241,1.42,19.60,OK
WARMUP,4,4,241,1.42,19.66,OK
WARMUP,1,5,232,1.42,19.72,OK
WARMUP,2,5,222,1.42,19.78,OK
WARMUP,1,8,112,1.42,19.84,OK
WARMUP,2,8,120,1.42,19.91,OK
WARMUP,3,8,118,1.42,19.96,OK
WARMUP,4,8,118,1.42,20.02,OK
WARMUP,1,9,107,1.42,20.08,OK
WARMUP,3,5,275,1.42,20.13,OK
WARMUP,4,5,275,1.42,20.19,OK
WARMUP,1,6,265,1.42,20.25,OK
WARMUP,2,6,239,1.42,19.54,OK
WARMUP,2,9,118,1.42,19.60,OK
WARMUP,3,9,126,1.42,20.02,OK
WARMUP,4,9,127,1.42,19.71,OK
WARMUP,1,10,112,1.42,19.76,OK
WARMUP,3,6,256,1.42,19.83,OK
WARMUP,4,6,255,1.42,19.88,OK
WARMUP,1,7,255,1.42,19.94,OK
WARMUP,2,7,226,1.42,20.00,OK
WARMUP,3,7,218,1.42,20.55,OK
WARMUP,4,7,218,1.42,20.13,OK
WARMUP,2,10,118,1.42,20.18,OK
WARMUP,3,10,117,1.42,20.24,OK
WARMUP,4,10,125,1.42,20.29,OK
WARMUP,1,11,111,1.42,19.61,OK
WARMUP,2,11,144,1.42,19.68,OK
WARMUP,3,11,144,1.42,19.73,OK
WARMUP,4,11,144,1.42,19.79,OK
WARMUP,1,12,129,1.42,19.86,OK
WARMUP,2,12,113,1.42,19.92,OK
WARMUP,3,12,137,1.42,19.97,OK
WARMUP,4,12,139,1.42,20.02,OK
WARMUP,1,13,141,1.42,20.08,OK
WARMUP,2,13,110,1.42,20.13,OK
WARMUP,3,13,109,1.42,20.18,OK
WARMUP,4,13,112,1.42,20.23,OK
WARMUP,1,14,130,1.42,20.28,OK
WARMUP,3,14,123,1.42,20.38,OK
WARMUP,4,14,124,1.42,20.43,OK
WARMUP,1,15,109,1.42,19.65,OK
WARMUP,2,15,116,1.42,20.13,OK
WARMUP,3,15,116,1.42,19.75,OK
WARMUP,4,15,117,1.42,19.80,OK
WARMUP,1,16,130,1.39,19.86,OK
WARMUP,2,16,118,1.39,19.91,OK
WARMUP,3,16,118,1.39,19.96,OK
WARMUP,4,16,119,1.39,20.01,OK
WARMUP,1,17,107,1.39,20.07,OK
WARMUP,2,17,144,1.39,20.12,OK
WARMUP,3,17,144,1.39,20.19,OK
WARMUP,4,17,144,1.39,20.24,OK
WARMUP,1,18,130,1.39,20.30,OK
WARMUP,2,18,112,1.39,20.35,OK
WARMUP,3,18,138,1.39,20.40,OK
WARMUP,4,18,140,1.39,20.45,OK
WARMUP,1,19,143,1.39,19.72,OK
WARMUP,2,19,112,1.39,19.77,OK
WARMUP,3,19,112,1.39,19.82,OK
WARMUP,4,19,112,1.39,19.88,OK
WARMUP,1,20,130,1.39,19.93,OK
WARMUP,2,20,125,1.39,19.98,OK
WARMUP,3,20,126,1.39,20.03,OK
WARMUP,4,20,125,1.39,20.08,OK
WARMUP,1,21,112,1.39,20.13,OK
WARMUP,2,21,115,1.39,20.18,OK
WARMUP,3,21,116,1.39,20.23,OK
WARMUP,4,21,116,1.39,20.29,OK
WARMUP,1,22,130,1.39,20.34,OK
WARMUP,2,14,478,1.42,20.33,OK
WARMUP,2,3,1011,1.42,19.57,OK
WARMUP,2,22,118,1.39,20.39,OK
WARMUP,3,22,118,1.39,20.44,OK
WARMUP,4,22,119,1.39,20.50,OK
WARMUP,1,23,129,1.39,19.74,OK
WARMUP,2,23,144,1.39,19.79,OK
WARMUP,3,23,143,1.39,19.84,OK
WARMUP,4,23,143,1.39,19.89,OK
WARMUP,1,24,128,1.39,19.94,OK
WARMUP,2,24,140,1.39,19.99,OK
WARMUP,3,24,141,1.39,20.04,OK
WARMUP,4,24,141,1.39,20.09,OK
WARMUP,1,25,142,1.39,20.15,OK
