Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,1,1,168,2,21.71,OK
WARMUP,3,1,169,2,21.73,OK
WARMUP,4,1,169,2,21.74,OK
WARMUP,1,2,136,2,21.76,OK
WARMUP,3,2,136,2,21.88,OK
WARMUP,4,2,137,2,21.82,OK
WARMUP,1,3,134,2,21.83,OK
WARMUP,3,3,135,2,21.84,OK
WARMUP,4,3,135,2,21.85,OK
WARMUP,1,4,135,2,21.87,OK
WARMUP,3,4,135,2,21.89,OK
WARMUP,4,4,134,2,21.90,OK
WARMUP,1,5,132,2,21.91,OK
WARMUP,3,5,132,2,21.92,OK
WARMUP,4,5,132,2,21.93,OK
WARMUP,2,1,133,2,21.94,OK
WARMUP,1,6,130,2,21.95,OK
WARMUP,3,6,130,2,21.96,OK
WARMUP,4,6,130,2,21.97,OK
WARMUP,2,2,130,2,21.98,OK
WARMUP,1,7,130,2,21.99,OK
WARMUP,3,7,131,2,22.00,OK
WARMUP,2,3,131,2,22.01,OK
WARMUP,1,8,126,2,22.02,OK
WARMUP,3,8,126,2,22.02,OK
WARMUP,2,4,127,2,22.03,OK
WARMUP,1,9,126,2,22.04,OK
WARMUP,3,9,126,2,22.05,OK
WARMUP,2,5,126,2,22.06,OK
WARMUP,1,10,110,2,22.07,OK
WARMUP,3,10,110,2,22.08,OK
WARMUP,2,6,110,2,22.09,OK
WARMUP,4,7,298,2,22.12,OK
WARMUP,4,8,254,2,22.12,OK
WARMUP,4,9,212,2,22.13,OK
WARMUP,4,10,168,2,22.13,OK
WARMUP,4,11,129,2,22.14,OK
WARMUP,1,11,129,2,22.15,OK
WARMUP,3,11,129,2,22.16,OK
WARMUP,2,7,129,2,22.17,OK
WARMUP,1,12,130,2,22.18,OK
WARMUP,3,12,130,2,22.19,OK
WARMUP,4,12,131,2,22.20,OK
WARMUP,2,8,131,2,22.21,OK
WARMUP,1,13,132,2,22.22,OK
WARMUP,3,13,132,2,22.23,OK
WARMUP,4,13,132,2,22.24,OK
WARMUP,2,9,132,2,22.25,OK
WARMUP,1,14,131,2,22.26,OK
WARMUP,4,14,132,2,22.28,OK
WARMUP,2,10,132,2,22.29,OK
WARMUP,1,15,135,1.92,22.30,OK
WARMUP,4,15,135,1.92,22.32,OK
WARMUP,2,11,136,1.92,22.33,OK
WARMUP,1,16,135,1.92,22.34,OK
WARMUP,4,16,135,1.92,22.36,OK
WARMUP,2,12,135,1.92,22.37,OK
WARMUP,1,17,136,1.92,22.38,OK
WARMUP,4,17,136,1.92,22.40,OK
WARMUP,2,13,136,1.92,22.41,OK
WARMUP,3,14,350,2,22.27,OK
WARMUP,3,15,306,1.92,22.31,OK
WARMUP,3,16,262,1.92,22.35,OK
WARMUP,3,17,219,1.92,22.39,OK
WARMUP,1,18,172,1.92,22.42,OK
WARMUP,4,18,172,1.92,22.44,OK
WARMUP,2,14,172,1.92,22.45,OK
WARMUP,3,18,213,1.92,22.43,OK
WARMUP,1,19,170,1.92,22.46,OK
WARMUP,4,19,169,1.92,22.48,OK
WARMUP,2,15,169,1.92,22.49,OK
WARMUP,3,19,212,1.92,22.47,OK
WARMUP,1,20,168,1.92,22.50,OK
WARMUP,4,20,167,1.92,22.52,OK
WARMUP,2,16,167,1.92,22.53,OK
WARMUP,1,21,140,1.92,22.54,OK
WARMUP,4,21,140,1.92,22.56,OK
WARMUP,2,17,140,1.92,22.57,OK
WARMUP,3,20,229,1.92,22.51,OK
WARMUP,3,21,184,1.92,22.55,OK
WARMUP,3,22,140,1.92,22.59,OK
WARMUP,1,22,141,1.92,22.58,OK
WARMUP,4,22,141,1.92,22.59,OK
WARMUP,2,18,141,1.92,22.60,OK
WARMUP,1,23,118,1.92,22.63,OK
WARMUP,3,23,118,1.92,22.64,OK
WARMUP,4,23,118,1.92,22.65,OK
WARMUP,2,19,118,1.92,22.66,OK
WARMUP,1,24,131,1.92,22.67,OK
WARMUP,3,24,130,1.92,22.68,OK
WARMUP,4,24,131,1.92,22.69,OK
WARMUP,2,20,131,1.92,22.70,OK
WARMUP,1,25,134,1.92,22.71,OK
WARMUP,3,25,134,1.92,22.72,OK
WARMUP,4,25,134,1.92,22.73,OK
WARMUP,2,21,134,1.92,22.74,OK
WARMUP,1,26,140,1.92,22.75,OK
WARMUP,3,26,140,1.92,22.76,OK
WARMUP,4,26,140,1.92,22.77,OK
WARMUP,2,22,140,1.92,22.77,OK
WARMUP,1,27,138,1.92,22.78,OK
WARMUP,3,27,139,1.92,22.79,OK
WARMUP,4,27,139,1.92,22.80,OK
WARMUP,2,23,139,1.92,22.81,OK
WARMUP,1,28,144,1.92,22.82,OK
WARMUP,3,28,146,1.92,22.83,OK
WARMUP,4,28,146,1.92,22.84,OK
WARMUP,2,24,146,1.92,22.85,OK
WARMUP,1,29,144,1.92,22.86,OK
WARMUP,3,29,144,1.92,22.87,OK
WARMUP,4,29,144,1.92,22.87,OK
WARMUP,1,30,122,1.92,22.88,OK
WARMUP,3,30,123,1.92,22.89,OK
WARMUP,4,30,123,1.92,22.90,OK
WARMUP,3,31,141,1.92,22.92,OK
WARMUP,4,31,142,1.92,22.93,OK
WARMUP,3,32,142,1.92,22.95,OK
WARMUP,4,32,143,1.92,22.96,OK
WARMUP,2,25,291,1.92,22.98,OK
WARMUP,2,26,247,1.92,22.98,OK
WARMUP,2,27,196,1.92,22.98,OK
WARMUP,2,28,149,1.92,22.99,OK
WARMUP,3,33,111,1.92,23.01,OK
WARMUP,4,33,111,1.92,23.02,OK
WARMUP,2,29,112,1.92,23.03,OK
WARMUP,3,34,135,1.92,23.05,OK
WARMUP,4,34,135,1.92,23.06,OK
WARMUP,2,30,135,1.92,23.06,OK
WARMUP,1,31,330,1.92,22.91,OK
WARMUP,1,32,284,1.92,22.94,OK
WARMUP,1,33,237,1.92,23.00,OK
WARMUP,1,34,190,1.92,23.04,OK
WARMUP,1,35,142,1.92,23.07,OK
WARMUP,3,35,142,1.92,23.08,OK
WARMUP,4,35,142,1.92,23.09,OK
WARMUP,2,31,143,1.92,23.10,OK
WARMUP,3,36,121,1.92,23.12,OK
WARMUP,4,36,122,1.92,23.13,OK
WARMUP,2,32,122,1.92,23.14,OK
WARMUP,1,36,149,1.92,23.11,OK
WARMUP,3,37,109,1.92,21.64,OK
WARMUP,4,37,109,1.92,21.64,OK
WARMUP,2,33,110,1.92,21.65,OK
WARMUP,1,37,163,1.92,21.63,OK
WARMUP,1,38,110,1.92,21.66,OK
WARMUP,3,38,110,1.92,21.67,OK
WARMUP,4,38,110,1.92,21.68,OK
WARMUP,2,34,110,1.92,21.69,OK
WARMUP,1,39,143,1.92,21.70,OK
WARMUP,3,39,144,1.92,21.71,OK
WARMUP,4,39,144,1.92,21.72,OK
WARMUP,2,35,144,1.92,21.73,OK
WARMUP,1,40,137,1.92,21.74,OK
WARMUP,3,40,138,1.92,21.74,OK
WARMUP,4,40,138,1.92,21.75,OK
WARMUP,2,36,138,1.92,21.76,OK
WARMUP,1,41,144,1.92,21.77,OK
WARMUP,3,41,145,1.92,21.78,OK
WARMUP,4,41,145,1.92,21.79,OK
WARMUP,2,37,145,1.92,21.80,OK
WARMUP,1,42,143,1.92,21.82,OK
WARMUP,3,42,144,1.92,21.83,OK
WARMUP,4,42,144,1.92,21.84,OK
WARMUP,2,38,144,1.92,21.85,OK
WARMUP,1,43,122,1.92,21.85,OK
WARMUP,3,43,122,1.92,21.86,OK
WARMUP,4,43,123,1.92,21.87,OK
WARMUP,2,39,123,1.92,21.88,OK
WARMUP,1,44,143,1.92,21.89,OK
WARMUP,3,44,144,1.92,21.90,OK
WARMUP,4,44,144,1.92,21.91,OK
WARMUP,2,40,144,1.92,21.92,OK
WARMUP,1,45,143,1.92,21.93,OK
WARMUP,3,45,144,1.92,21.94,OK
WARMUP,4,45,144,1.92,21.94,OK
WARMUP,2,41,144,1.92,21.95,OK
WARMUP,1,46,126,1.92,21.96,OK
WARMUP,3,46,126,1.92,21.97,OK
WARMUP,4,46,127,1.92,21.98,OK
WARMUP,2,42,127,1.92,21.99,OK
WARMUP,1,47,131,1.92,22.00,OK
WARMUP,3,47,132,1.92,22.01,OK
WARMUP,4,47,132,1.92,22.02,OK
WARMUP,2,43,132,1.92,22.03,OK
WARMUP,1,48,143,1.92,22.03,OK
WARMUP,3,48,143,1.92,22.04,OK
WARMUP,4,48,143,1.92,22.05,OK
WARMUP,2,44,144,1.92,22.06,OK
WARMUP,1,49,144,1.92,22.07,OK
WARMUP,3,49,144,1.92,22.08,OK
WARMUP,4,49,144,1.92,22.09,OK
WARMUP,2,45,144,1.92,22.10,OK
WARMUP,1,50,142,1.92,22.11,OK
WARMUP,4,50,143,1.92,22.13,OK
WARMUP,2,46,143,1.92,22.14,OK
WARMUP,1,51,144,1.92,22.15,OK
WARMUP,4,51,144,1.92,22.16,OK
WARMUP,2,47,144,1.92,22.17,OK
WARMUP,1,52,140,1.92,22.19,OK
WARMUP,4,52,141,1.92,22.21,OK
WARMUP,1,53,134,1.92,22.22,OK
WARMUP,4,53,135,1.92,22.24,OK
WARMUP,3,50,352,1.92,22.12,OK
WARMUP,3,51,305,1.92,22.16,OK
WARMUP,3,52,257,1.92,22.20,OK
WARMUP,3,53,210,1.92,22.23,OK
WARMUP,3,54,162,1.92,22.26,OK
WARMUP,1,54,163,1.92,22.25,OK
WARMUP,1,55,118,1.92,22.28,OK
WARMUP,4,54,163,1.92,22.27,OK
WARMUP,4,55,118,1.92,22.29,OK
WARMUP,3,55,178,1.92,22.29,OK
WARMUP,1,56,137,1.92,22.30,OK
WARMUP,4,56,137,1.92,22.32,OK
WARMUP,2,48,319,1.92,22.34,OK
WARMUP,2,49,272,1.92,22.35,OK
WARMUP,2,50,224,1.92,22.35,OK
WARMUP,2,51,179,1.92,22.35,OK
WARMUP,2,52,138,1.92,22.36,OK
WARMUP,1,57,123,1.92,21.65,OK
WARMUP,4,57,123,1.92,21.67,OK
WARMUP,2,53,124,1.92,21.68,OK
WARMUP,3,56,204,1.92,22.31,OK
WARMUP,3,57,165,1.92,21.66,OK
WARMUP,3,58,144,1.92,21.68,OK
WARMUP,4,58,144,1.92,21.69,OK
WARMUP,2,54,144,1.92,21.70,OK
WARMUP,3,59,128,1.92,21.71,OK
WARMUP,4,59,128,1.92,21.72,OK
WARMUP,2,55,129,1.92,21.73,OK
WARMUP,3,60,143,1.92,21.74,OK
WARMUP,4,60,144,1.92,21.75,OK
WARMUP,2,56,144,1.92,21.76,OK
WARMUP,3,61,137,1.92,21.77,OK
WARMUP,4,61,138,1.92,21.77,OK
WARMUP,2,57,138,1.92,21.78,OK
WARMUP,1,58,321,1.92,21.80,OK
WARMUP,1,59,274,1.92,21.81,OK
WARMUP,1,60,227,1.92,21.81,OK
WARMUP,3,62,172,1.92,21.84,OK
WARMUP,4,62,173,1.92,21.85,OK
WARMUP,2,58,173,1.92,21.85,OK
WARMUP,3,63,165,1.92,21.87,OK
WARMUP,4,63,166,1.92,21.88,OK
WARMUP,2,59,166,1.92,21.89,OK
WARMUP,3,64,163,1.92,21.91,OK
WARMUP,4,64,164,1.92,21.92,OK
WARMUP,2,60,164,1.92,21.93,OK
WARMUP,3,65,163,1.92,21.95,OK
WARMUP,4,65,164,1.92,21.96,OK
WARMUP,2,61,164,1.92,21.97,OK
WARMUP,1,61,383,1.92,21.81,OK
WARMUP,1,62,336,1.92,21.83,OK
WARMUP,1,63,289,1.92,21.86,OK
WARMUP,1,64,246,1.92,21.90,OK
