Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,2,6,226,2.2,20.02,OK
WARMUP,3,6,230,2.2,20.08,OK
WARMUP,2,7,233,2.2,20.14,OK
WARMUP,3,7,236,2.2,20.20,OK
WARMUP,1,8,232,2.2,20.26,OK
WARMUP,2,8,212,2.2,20.34,OK
WARMUP,1,9,219,2.2,20.40,OK
WARMUP,2,9,213,2.2,19.97,OK
WARMUP,4,9,218,2.2,20.04,OK
WARMUP,1,10,127,2.2,20.10,OK
WARMUP,2,10,131,2.2,20.15,OK
WARMUP,3,10,234,2.2,20.20,OK
WARMUP,1,11,221,2.2,20.25,OK
WARMUP,1,11,393,2.2,20.31,OK
WARMUP,1,11,434,2.2,20.36,OK
WARMUP,4,10,410,2.2,20.41,OK
WARMUP,4,11,129,2.2,20.47,OK
WARMUP,4,11,400,2.2,20.52,OK
WARMUP,3,12,224,2.2,20.63,OK
WARMUP,4,12,130,2.2,20.57,OK
WARMUP,3,12,391,2.2,20.68,OK
WARMUP,1,13,127,2.2,20.73,OK
WARMUP,2,13,128,2.2,20.03,OK
WARMUP,4,12,412,2.2,20.08,OK
WARMUP,3,13,213,2.2,20.13,OK
WARMUP,4,13,136,2.2,20.18,OK
WARMUP,3,13,400,2.2,20.23,OK
WARMUP,2,14,133,2.2,20.28,OK
WARMUP,3,14,134,2.2,20.38,OK
WARMUP,1,14,404,2.2,20.33,OK
WARMUP,4,14,132,2.2,20.43,OK
WARMUP,3,14,227,2.2,20.49,OK
WARMUP,2,15,406,2.2,20.54,OK
WARMUP,1,15,141,2.2,20.60,OK
WARMUP,4,14,403,2.2,20.65,OK
WARMUP,2,15,130,2.2,20.70,OK
WARMUP,3,15,129,2.2,20.80,OK
WARMUP,1,15,311,2.2,20.75,OK
WARMUP,3,15,213,2.2,20.05,OK
WARMUP,4,15,129,2.2,20.11,OK
WARMUP,2,15,312,2.2,20.16,OK
WARMUP,1,16,208,2.2,20.21,OK
WARMUP,1,16,134,2.2,20.26,OK
WARMUP,3,15,403,2.2,20.36,OK
WARMUP,4,15,405,2.2,20.42,OK
WARMUP,2,16,414,2.2,20.31,OK
WARMUP,2,16,130,2.2,20.52,OK
WARMUP,3,16,126,2.2,20.57,OK
WARMUP,1,16,311,2.2,20.47,OK
WARMUP,2,16,306,2.2,20.62,OK
WARMUP,4,16,133,2.2,20.67,OK
WARMUP,1,17,131,2.2,20.72,OK
WARMUP,4,16,388,2.2,20.77,OK
WARMUP,2,17,138,2.2,20.82,OK
WARMUP,3,17,132,2.2,20.07,OK
WARMUP,4,17,133,2.2,20.12,OK
WARMUP,1,18,137,2.2,20.17,OK
WARMUP,2,18,127,2.2,20.23,OK
WARMUP,3,18,131,2.2,20.28,OK
WARMUP,4,18,133,2.2,20.33,OK
WARMUP,1,19,139,2.2,20.38,OK
WARMUP,2,19,127,2.2,20.43,OK
WARMUP,3,19,132,2.2,20.50,OK
WARMUP,4,19,139,2.2,20.55,OK
WARMUP,1,20,136,2.2,20.60,OK
WARMUP,2,20,131,2.2,20.66,OK
WARMUP,3,20,127,2.2,20.71,OK
WARMUP,4,20,136,2.2,20.76,OK
WARMUP,1,21,138,2.2,20.81,OK
WARMUP,3,21,126,2.2,20.11,OK
WARMUP,2,21,134,2.2,20.86,OK
WARMUP,4,21,125,2.2,20.17,OK
WARMUP,1,22,133,2.2,20.22,OK
WARMUP,2,22,141,2.2,20.27,OK
WARMUP,3,22,136,2.2,20.32,OK
WARMUP,4,22,139,2.2,20.37,OK
WARMUP,1,23,133,2.2,20.42,OK
WARMUP,2,23,133,2.2,20.47,OK
WARMUP,3,23,132,2.2,20.52,OK
WARMUP,4,23,133,2.2,20.57,OK
WARMUP,1,24,136,2.2,20.62,OK
WARMUP,2,24,137,2.2,20.78,OK
WARMUP,3,24,131,2.2,20.73,OK
WARMUP,4,24,124,2.2,20.79,OK
WARMUP,1,25,130,2.2,20.84,OK
WARMUP,2,25,133,2.2,20.89,OK
WARMUP,3,25,128,2.2,20.14,OK
WARMUP,4,25,127,2.2,20.19,OK
WARMUP,1,26,133,2.2,20.24,OK
WARMUP,2,26,129,2.2,20.29,OK
WARMUP,3,26,136,2.2,20.34,OK
WARMUP,4,26,134,2.2,20.39,OK
WARMUP,1,27,127,2.2,20.44,OK
WARMUP,3,27,128,2.2,20.54,OK
WARMUP,2,27,136,2.2,20.49,OK
WARMUP,1,28,125,2.2,20.64,OK
WARMUP,4,27,136,2.2,20.59,OK
WARMUP,2,28,129,2.2,20.69,OK
WARMUP,3,28,135,2.2,20.74,OK
WARMUP,4,28,133,2.2,20.79,OK
WARMUP,1,29,135,2.2,20.84,OK
WARMUP,2,29,133,2.2,20.90,OK
WARMUP,3,29,132,2.2,20.15,OK
