Fase,ClienteID,Iteracion,Latencia_ms,CPU_Load,RAM_MB,Status
WARMUP,2,1,125,2.29,22.07,OK
WARMUP,1,1,127,2.29,22.09,OK
WARMUP,3,1,125,2.29,22.11,OK
WARMUP,4,1,126,2.29,22.08,OK
WARMUP,2,2,122,2.29,22.13,OK
WARMUP,1,2,127,2.29,22.14,OK
WARMUP,3,2,126,2.29,22.16,OK
WARMUP,4,2,125,2.29,22.15,OK
WARMUP,2,3,123,2.29,22.17,OK
WARMUP,1,3,126,2.29,22.18,OK
WARMUP,4,3,126,2.29,22.19,OK
WARMUP,3,3,126,2.29,22.20,OK
WARMUP,2,4,125,2.29,22.21,OK
WARMUP,1,4,126,2.29,22.22,OK
WARMUP,3,4,126,2.29,22.24,OK
WARMUP,4,4,126,2.29,22.23,OK
WARMUP,2,5,124,2.29,22.25,OK
WARMUP,1,5,126,2.29,22.26,OK
WARMUP,3,5,126,2.29,22.28,OK
WARMUP,4,5,125,2.29,22.27,OK
WARMUP,2,6,123,2.29,22.29,OK
WARMUP,1,6,126,2.29,22.30,OK
WARMUP,3,6,126,2.29,22.32,OK
WARMUP,4,6,126,2.29,22.31,OK
WARMUP,2,7,123,2.29,21.60,OK
WARMUP,1,7,126,2.29,21.62,OK
WARMUP,3,7,125,2.29,21.63,OK
WARMUP,4,7,126,2.29,21.61,OK
WARMUP,2,8,122,2.29,21.64,OK
WARMUP,1,8,126,2.29,21.66,OK
WARMUP,3,8,126,2.29,21.67,OK
WARMUP,4,8,126,2.29,21.65,OK
WARMUP,2,9,122,2.29,21.68,OK
WARMUP,1,9,126,2.29,21.70,OK
WARMUP,3,9,125,2.29,21.71,OK
WARMUP,4,9,126,2.29,21.69,OK
WARMUP,2,10,122,2.29,21.72,OK
WARMUP,1,10,126,2.29,21.73,OK
WARMUP,3,10,125,2.29,21.75,OK
WARMUP,4,10,126,2.29,21.74,OK
WARMUP,2,11,123,2.29,21.76,OK
WARMUP,1,11,127,2.29,21.77,OK
WARMUP,3,11,126,2.29,21.78,OK
WARMUP,4,11,126,2.29,21.79,OK
WARMUP,2,12,123,2.29,21.80,OK
WARMUP,3,12,126,2.29,21.83,OK
WARMUP,1,12,128,2.29,21.82,OK
WARMUP,4,12,126,2.29,21.81,OK
WARMUP,2,13,123,2.29,21.84,OK
WARMUP,1,13,126,2.29,21.85,OK
WARMUP,3,13,125,2.29,21.87,OK
WARMUP,4,13,126,2.29,21.86,OK
WARMUP,2,14,123,2.29,21.88,OK
WARMUP,1,14,127,2.29,21.89,OK
WARMUP,3,14,126,2.29,21.91,OK
WARMUP,4,14,126,2.29,21.90,OK
WARMUP,2,15,123,2.29,21.92,OK
WARMUP,1,15,126,2.29,21.93,OK
WARMUP,3,15,126,2.29,21.95,OK
WARMUP,4,15,127,2.29,21.94,OK
WARMUP,2,16,124,2.29,21.96,OK
WARMUP,1,16,126,2.29,21.97,OK
WARMUP,3,16,126,2.29,21.99,OK
WARMUP,4,16,125,2.29,21.98,OK
WARMUP,2,17,123,2.29,22.00,OK
WARMUP,3,17,126,2.29,22.02,OK
WARMUP,1,17,127,2.29,22.03,OK
WARMUP,4,17,125,2.29,22.01,OK
WARMUP,2,18,124,2.29,22.04,OK
WARMUP,1,18,126,2.29,22.05,OK
WARMUP,3,18,126,2.29,22.07,OK
WARMUP,4,18,126,2.29,22.06,OK
WARMUP,2,19,124,2.29,22.08,OK
WARMUP,1,19,128,2.29,22.09,OK
WARMUP,3,19,129,2.29,22.10,OK
WARMUP,4,19,130,2.29,22.11,OK
WARMUP,2,20,124,2.29,22.12,OK
WARMUP,1,20,126,2.29,22.14,OK
WARMUP,3,20,126,2.29,22.15,OK
WARMUP,4,20,126,2.29,22.13,OK
WARMUP,2,21,123,2.29,22.16,OK
WARMUP,1,21,126,2.29,22.18,OK
WARMUP,3,21,125,2.29,22.19,OK
WARMUP,4,21,126,2.29,22.17,OK
WARMUP,2,22,123,2.29,22.20,OK
WARMUP,3,22,126,2.29,22.22,OK
WARMUP,4,22,126,2.29,22.21,OK
WARMUP,1,22,127,2.29,22.23,OK
WARMUP,2,23,123,2.29,22.24,OK
WARMUP,1,23,125,2.29,22.26,OK
WARMUP,3,23,125,2.29,22.27,OK
WARMUP,4,23,126,2.29,22.25,OK
WARMUP,2,24,123,2.29,22.28,OK
WARMUP,1,24,126,2.29,22.30,OK
WARMUP,3,24,125,2.29,22.31,OK
WARMUP,4,24,126,2.29,22.29,OK
WARMUP,2,25,123,2.29,22.32,OK
WARMUP,4,25,126,2.29,22.33,OK
WARMUP,1,25,129,2.29,21.63,OK
WARMUP,3,25,127,2.29,21.62,OK
WARMUP,2,26,123,2.29,21.64,OK
WARMUP,1,26,126,2.29,21.65,OK
WARMUP,3,26,126,2.29,21.67,OK
WARMUP,4,26,127,2.29,21.66,OK
WARMUP,2,27,123,2.29,21.68,OK
WARMUP,1,27,127,2.29,21.70,OK
WARMUP,3,27,126,2.29,21.70,OK
WARMUP,4,27,127,2.29,21.69,OK
WARMUP,2,28,123,2.29,21.71,OK
WARMUP,1,28,126,2.29,21.73,OK
WARMUP,3,28,125,2.29,21.74,OK
WARMUP,4,28,127,2.29,21.72,OK
WARMUP,2,29,122,2.29,21.75,OK
WARMUP,1,29,127,2.29,21.77,OK
WARMUP,3,29,126,2.29,21.78,OK
WARMUP,4,29,126,2.29,21.76,OK
WARMUP,2,30,123,2.29,21.79,OK
WARMUP,1,30,126,2.29,21.81,OK
WARMUP,3,30,125,2.29,21.82,OK
WARMUP,4,30,126,2.29,21.80,OK
WARMUP,2,31,123,2.29,21.82,OK
WARMUP,1,31,126,2.29,21.84,OK
WARMUP,3,31,126,2.29,21.85,OK
WARMUP,4,31,126,2.29,21.83,OK
WARMUP,2,32,123,2.29,21.86,OK
WARMUP,1,32,127,2.29,21.89,OK
WARMUP,3,32,125,2.29,21.90,OK
WARMUP,4,32,126,2.29,21.88,OK
WARMUP,2,33,123,2.29,21.91,OK
WARMUP,4,33,126,2.29,21.92,OK
WARMUP,3,33,128,2.29,21.93,OK
WARMUP,1,33,128,2.29,21.92,OK
WARMUP,2,34,123,2.29,21.94,OK
WARMUP,1,34,127,2.29,21.96,OK
WARMUP,3,34,125,2.29,21.97,OK
WARMUP,4,34,125,2.29,21.95,OK
WARMUP,2,35,123,2.29,21.98,OK
WARMUP,1,35,126,2.29,22.00,OK
WARMUP,3,35,126,2.29,22.01,OK
WARMUP,4,35,126,2.29,21.99,OK
WARMUP,2,36,123,2.29,22.02,OK
WARMUP,3,36,125,2.29,22.03,OK
WARMUP,1,36,126,2.29,22.04,OK
